ticker,name,day,price
011210,현대위아,1,81700
004020,현대제철,1,35000
005440,현대지에프홀딩스,1,14360
005380,현대차,1,495000
005387,현대차2우B,1,257000
005389,현대차3우B,1,245000
005385,현대차우,1,257000
001500,현대차증권,1,10900
011760,현대코퍼레이션,1,26150
227840,현대코퍼레이션홀딩스,1,12250
126560,현대퓨처넷,1,3335
001450,현대해상,1,31450
057050,현대홈쇼핑,1,81200
093240,형지엘리트,1,994
003010,혜인,1,5450
111110,호전실업,1,7500
008770,호텔신라,1,47450
008775,호텔신라우,1,36700
378850,화승알앤에이,1,3575
241590,화승엔터프라이즈,1,4615
006060,화승인더,1,3225
013520,화승코퍼레이션,1,2755
010690,화신,1,11210
133820,화인베스틸,1,1212
010660,화천기계,1,5870
000850,화천기공,1,36850
016580,환인제약,1,10450
032560,황금에스티,1,5970
004800,효성,1,139600
094280,효성ITX,1,12540
298040,효성중공업,1,2676000
298020,효성티앤씨,1,401500
298000,효성화학,1,38900
093370,후성,1,7370
005870,휴니드,1,8630
079980,휴비스,1,2775
005010,휴스틸,1,5240
000540,흥국화재,1,4495
000545,흥국화재우,1,6900
003280,흥아해운,1,2950
