종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001510","SK증권","2070","-20","-0.96","2010","2120","1990","44587674","91303476644","978261653970","472590171"
"001515","SK증권우","5480","-610","-10.02","5700","6120","5320","2148309","12059677125","21440576720","3912514"
"285130","SK케미칼","55000","700","1.29","54800","55000","52500","50215","2698074700","951432130000","17298766"
"28513K","SK케미칼우","26900","0","0.00","26400","27700","26300","2406","64006200","56905040100","2115429"
"017670","SK텔레콤","79900","-100","-0.13","78500","79900","77500","823758","65032609950","17161725234700","214790053"
"000660","SK하이닉스","922000","-11000","-1.18","890000","934000","880000","4520942","4088912609600","657111580530000","712702365"
"003570","SNT다이내믹스","49700","-700","-1.39","49100","50000","47900","71798","3501285500","1652659040900","33252697"
"064960","SNT모티브","33800","-650","-1.89","33650","34050","32700","48236","1614835700","897061193600","26540272"
"100840","SNT에너지","48200","-200","-0.41","50300","50400","46250","332695","15988329675","996813740600","20680783"
"036530","SNT홀딩스","62200","-800","-1.27","61000","62200","60300","9912","607736950","1014101709200","16303886"
"005610","SPC삼립","50800","400","0.79","50400","50800","49800","6522","327415950","438353657200","8629009"
"011810","STX","3530","0","0.00","0","0","0","0","0","109493282310","31017927"
"465770","STX그린로지스","6000","-160","-2.60","6150","6280","5880","157108","941428595","43026192000","7171032"
"077970","STX엔진","33500","-1800","-5.10","34200","34650","32850","189197","6315801425","1344960110500","40148063"
"002820","SUN&L","2335","-20","-0.85","2355","2360","2290","8009","18573745","29439654315","12607989"
"084870","TBH글로벌","2340","10","0.43","2330","2460","2240","198690","471019810","48804956460","20856819"
"002710","TCC스틸","13560","380","2.88","13000","13680","12690","129558","1717603010","355457731320","26213697"
"069260","TKG휴켐스","18200","-370","-1.99","19200","19210","17840","135378","2458253840","743990301600","40878588"
"007980","TP","1865","-1","-0.05","1864","1869","1840","236365","439066325","95441617450","51175130"
"002900","TYM","6830","60","0.89","6660","6860","6610","180982","1221389085","282762000000","41400000"
"024070","WISCOM","2035","0","0.00","2035","2055","1999","24754","50070875","31189301330","15326438"
"037270","YG PLUS","5560","20","0.36","5480","5560","5350","332760","1815025510","353966891600","63663110"
"139130","iM금융지주","17670","690","4.06","17000","17700","16600","692153","12044120705","2838236381610","160624583"
"000500","가온전선","109300","3700","3.50","101900","111000","96400","44681","4714168450","1808162469500","16543115"
"000860","강남제비스코","15030","-50","-0.33","14970","15060","14410","22238","326601830","195390000000","13000000"
"035250","강원랜드","18260","20","0.11","18140","18300","17940","740646","13451649830","3906553530000","213940500"
"011420","갤럭시아에스엠","1797","-28","-1.53","1806","1823","1782","109666","197298841","49506710268","27549644"
"002100","경농","9480","-70","-0.73","9560","9565","9290","87030","816369860","185074011000","19522575"
"009450","경동나비엔","62100","-400","-0.64","61900","62500","60600","15635","966395300","904709563200","14568592"
"267290","경동도시가스","22100","-100","-0.45","22050","22100","21800","5445","119474350","130288472600","5895406"
"012320","경동인베스트","57100","100","0.18","55900","58300","55400","20681","1170251200","135042813300","2365023"
"000050","경방","9490","-10","-0.11","9300","9520","9100","52385","487603490","260170912300","27415270"
"214390","경보제약","8050","-10","-0.12","7970","8150","7840","287978","2297447180","192450223000","23906860"
"012610","경인양행","3950","-50","-1.25","3915","4015","3855","186941","738468490","164384641750","41616365"
"009140","경인전자","22600","-100","-0.44","22150","22700","22150","2466","55245300","35500012200","1570797"
"013580","계룡건설","25400","-250","-0.97","25000","25500","24400","77234","1925812600","226845037800","8930907"
"012200","계양전기","6060","0","0.00","5900","6100","5860","259926","1551321155","164970343740","27222829"
"012205","계양전기우","5400","320","6.30","5020","5460","5000","10301","54103600","6313026600","1169079"
"002140","고려산업","2720","-85","-3.03","2815","2815","2685","429537","1168009737","67835236000","24939425"
"010130","고려아연","1483000","-63000","-4.08","1490000","1490000","1415000","30379","44069932500","30954613027000","20872969"
"002240","고려제강","21400","0","0.00","21000","21450","20700","17347","365475825","577800000000","27000000"
"009290","광동제약","8880","-30","-0.34","8800","8950","8510","344448","3001133880","442222295040","49799808"
"017040","광명전기","1025","2","0.20","1015","1041","1002","464446","472762045","44421055375","43337615"
"017900","광전자","3250","75","2.36","3095","3860","2860","28431567","97805622569","188317229750","57943763"
"037710","광주신세계","38900","-50","-0.13","38350","39000","38350","15167","588759600","309534691000","7957190"
"030610","교보증권","13040","330","2.60","12510","13050","12350","88961","1130907115","1486077011440","113962961"
"339770","교촌에프앤비","4155","-25","-0.60","4150","4180","4110","71039","294437451","207604907400","49965080"
"007690","국도화학","36850","900","2.50","35300","36850","34000","8496","303054700","341261659200","9260832"
"002720","국제약품","5130","-100","-1.91","5170","5210","5010","295152","1509465460","108549938160","21159832"
"083420","그린케미칼","5740","-150","-2.55","5940","6010","5670","277227","1602358745","137760000000","24000000"
"014530","극동유화","3775","35","0.94","3830","3840","3650","800705","2992134542","131632060500","34869420"
"014280","금강공업","4905","-20","-0.41","4890","4920","4725","116788","564294270","143860496085","29329357"
"014285","금강공업우","6910","-40","-0.58","6980","6980","6770","323","2207010","4076036250","589875"
"008870","금비","45600","50","0.11","46100","46100","44900","523","23630150","45600000000","1000000"
"001570","금양","9900","0","0.00","0","0","0","0","0","633275240400","63967196"
"002990","금호건설","5050","40","0.80","5190","5250","4890","173574","869324589","186833638000","36996760"
"002995","금호건설우","13940","-50","-0.36","13940","14110","13900","905","12652520","4074188040","292266"
"011780","금호석유화학","126500","-1500","-1.17","126000","126500","121700","72366","8988586700","3293015363000","26031742"
"011785","금호석유화학우","58200","-700","-1.19","59100","59100","57000","1928","111025650","175966885200","3023486"
"214330","금호에이치티","473","-15","-3.07","489","489","460","1012901","473856006","103135999230","218046510"
"001210","금호전기","782","-13","-1.64","780","796","770","394548","307524398","48390224906","61880083"
"073240","금호타이어","6250","150","2.46","5980","6270","5930","417551","2567043995","1795376793750","287260287"
"092440","기신정기","2320","30","1.31","2230","2320","2230","26381","59423645","67744000000","29200000"
"000270","기아","155800","1100","0.71","150800","156300","149400","832198","127589700150","60826345088400","390412998"
"024110","기업은행","23550","150","0.64","23200","23700","22800","1581913","36811215700","18779379214950","797425869"
"013700","까뮤이앤씨","1259","-20","-1.56","1279","1291","1212","53204","66679933","75226294970","59750830"
"004540","깨끗한나라","2115","132","6.66","1987","2405","1987","7389452","16339989762","78764065695","37240693"
"004545","깨끗한나라우","10600","220","2.12","11000","11000","10390","4252","45712990","3881296000","366160"
"001260","남광토건","8840","50","0.57","8790","8900","8500","22739","197275810","86919936480","9832572"
"008350","남선알미늄","1340","-33","-2.40","1368","1369","1310","1952798","2605441795","172965980600","129079090"
"008355","남선알미우","12530","-80","-0.63","12600","12610","12500","1974","24699230","3857861700","307890"
"004270","남성","755","-4","-0.53","758","759","736","70738","52609160","27340180800","36212160"
"003920","남양유업","51000","600","1.19","49800","51100","49550","6137","309904850","306000000000","6000000"
"003925","남양유업우","40000","-200","-0.50","40150","40500","39500","6884","276119400","80000000000","2000000"
"025860","남해화학","8040","-400","-4.74","8560","8600","7910","1571087","12758178455","399417897720","49678843"
"005720","넥센","6750","-20","-0.30","6720","6760","6620","19935","133324195","361421844750","53543977"
"005725","넥센우","4495","65","1.47","4730","4730","4300","184","817710","16184697000","3600600"
"002350","넥센타이어","7370","20","0.27","7340","7430","7160","109037","799856275","719812253490","97667877"
"002355","넥센타이어1우B","4480","-20","-0.44","4450","4495","4385","7639","33840405","29120000000","6500000"
"092790","넥스틸","11370","-150","-1.30","11330","11470","11000","105111","1185961545","295642740000","26002000"
"251270","넷마블","52200","700","1.36","50900","52400","50300","229135","11845257350","4278331366200","81960371"
"090350","노루페인트","8850","-180","-1.99","9030","9060","8650","275426","2421848820","177000000000","20000000"
"090355","노루페인트우","13290","-200","-1.48","13600","13600","12980","1367","17933360","6154944540","463126"
"000320","노루홀딩스","21900","-400","-1.79","21900","22150","21400","10675","231880200","291076206900","13291151"
"000325","노루홀딩스우","30900","-50","-0.16","29900","30900","29900","150","4568950","7525973100","243559"
"006280","녹십자","151000","2700","1.82","147700","152100","145600","30908","4627147150","1764667238000","11686538"
"005250","녹십자홀딩스","14260","160","1.13","14210","14260","13850","77762","1093435690","670622274600","47028210"
"005257","녹십자홀딩스2우","23400","-450","-1.89","22500","23400","22500","1521","34528100","19796166000","845990"
"004370","농심","375500","2000","0.54","371000","375500","368000","13403","5002415250","2284032071000","6082642"
"072710","농심홀딩스","96100","500","0.52","95500","96100","94700","8000","762290700","445691619000","4637790"
"058730","다스코","3620","35","0.98","3555","3660","3470","198394","706470367","72212560020","19948221"
"030210","다올투자증권","4115","30","0.73","4040","4120","3955","99926","401852202","250649201190","60911106"
"023590","다우기술","48300","650","1.36","47200","48450","46600","46604","2218547175","2167057601100","44866617"
"145210","다이나믹디자인","224","0","0.00","0","0","0","0","0","9461013632","42236668"
"483650","달바글로벌","154500","11000","7.67","140200","157600","140100","127239","19367724600","1914666742500","12392665"
"019680","대교","1638","-2","-0.12","1670","1671","1605","90527","147232320","138743268300","84702850"
"019685","대교우B","1011","-1","-0.10","1022","1022","1004","6687","6730090","19640686890","19426990"
"006370","대구백화점","4920","175","3.69","4710","4975","4645","23946","115715180","53242326120","10821611"
"008060","대덕","14740","160","1.10","14550","14810","14210","181387","2621127735","499540811000","33890150"
"00806K","대덕1우","11740","160","1.38","11580","11800","11300","43206","499163920","14233071180","1212357"
"353200","대덕전자","85400","-2300","-2.62","85900","89200","81800","1273722","108210645650","4220205395000","49416925"
"35320K","대덕전자1우","19010","-640","-3.26","19360","19540","18630","25822","491174740","39835816190","2095519"
"000490","대동","9830","80","0.82","9710","9970","9470","233014","2264172075","283368082950","28826865"
"008110","대동전자","14550","20","0.14","14540","14640","14530","70094","1019497620","152636003850","10490447"
"005750","대림바스","5850","-160","-2.66","6010","6010","5720","173267","1011861270","97532604000","16672240"
"006570","대림통상","2010","12","0.60","2070","2070","1976","15826","31451041","30602250000","15225000"
"001680","대상","21000","400","1.94","20650","21000","20450","158255","3285139500","727608525000","34648025"
"001685","대상우","16960","70","0.41","16880","16970","16800","6464","109262910","23238982080","1370223"
"084690","대상홀딩스","9450","80","0.85","9370","9470","9220","36961","345298235","342208484100","36212538"
"084695","대상홀딩스우","14800","30","0.20","14910","14910","14450","4506","65771900","13519533600","913482"
"128820","대성산업","7040","-90","-1.26","7170","7190","6930","378831","2667136020","318457765120","45235478"
"117580","대성에너지","9830","-550","-5.30","10550","10680","9600","1169510","11578488135","270325000000","27500000"
"016710","대성홀딩스","8640","-60","-0.69","8630","8650","8460","22134","189190125","139012925760","16089459"
"0030R0","대신밸류리츠","4285","-25","-0.58","4320","4320","4280","41460","177765175","256157300000","59780000"
"003540","대신증권","37850","-350","-0.92","37100","38000","36600","130487","4900534100","1921773190000","50773400"
"003547","대신증권2우B","23700","-450","-1.86","23650","24000","23150","34590","810490075","237000000000","10000000"
"003545","대신증권우","24750","-350","-1.39","24800","25000","24150","95011","2330928975","643500000000","26000000"
"009190","대양금속","1271","1","0.08","1270","1310","1250","239774","307423287","54897826375","43192625"
"014160","대영포장","1300","-109","-7.74","1520","1637","1286","104410444","156041123160","140912913700","108394549"
